Cycle Index,Step Index,Date,Current(mA),Voltage(V),Chg. Cap.(mAh),DChg. Cap.(mAh)
1,1,2026-01-01  00:00:00.0,200.0,3.0029,0.0493,0.0
1,1,2026-01-01  00:00:36.0,200.0,3.0074,0.0987,0.0
1,1,2026-01-01  00:01:12.0,200.0,3.01,0.148,0.0
1,1,2026-01-01  00:01:48.0,200.0,3.0135,0.1973,0.0
1,1,2026-01-01  00:02:24.0,200.0,3.0211,0.2467,0.0
1,1,2026-01-01  00:03:00.0,200.0,3.0272,0.296,0.0
1,1,2026-01-01  00:03:36.0,200.0,3.0396,0.3453,0.0
1,1,2026-01-01  00:04:12.0,200.0,3.0545,0.3947,0.0
1,1,2026-01-01  00:04:48.0,200.0,3.0623,0.444,0.0
1,1,2026-01-01  00:05:24.0,200.0,3.0777,0.4933,0.0
1,1,2026-01-01  00:06:00.0,200.0,3.0998,0.5427,0.0
1,1,2026-01-01  00:06:36.0,200.0,3.1214,0.592,0.0
1,1,2026-01-01  00:07:12.0,200.0,3.1465,0.6413,0.0
1,1,2026-01-01  00:07:48.0,200.0,3.1733,0.6907,0.0
1,1,2026-01-01  00:08:24.0,200.0,3.2103,0.74,0.0
1,1,2026-01-01  00:09:00.0,200.0,3.2514,0.7893,0.0
1,1,2026-01-01  00:09:36.0,200.0,3.2889,0.8387,0.0
1,1,2026-01-01  00:10:12.0,200.0,3.3398,0.888,0.0
1,1,2026-01-01  00:10:48.0,200.0,3.3879,0.9373,0.0
1,1,2026-01-01  00:11:24.0,200.0,3.4459,0.9867,0.0
1,1,2026-01-01  00:12:00.0,200.0,3.5031,1.036,0.0
1,1,2026-01-01  00:12:36.0,200.0,3.5686,1.0853,0.0
1,1,2026-01-01  00:13:12.0,200.0,3.6268,1.1347,0.0
1,1,2026-01-01  00:13:48.0,200.0,3.6922,1.184,0.0
1,1,2026-01-01  00:14:24.0,200.0,3.7507,1.2333,0.0
1,1,2026-01-01  00:15:00.0,200.0,3.8058,1.2827,0.0
1,1,2026-01-01  00:15:36.0,200.0,3.8513,1.332,0.0
1,1,2026-01-01  00:16:12.0,200.0,3.9054,1.3813,0.0
1,1,2026-01-01  00:16:48.0,200.0,3.9506,1.4307,0.0
1,1,2026-01-01  00:17:24.0,200.0,3.99,1.48,0.0
1,1,2026-01-01  00:18:00.0,200.0,4.0194,1.5293,0.0
1,1,2026-01-01  00:18:36.0,200.0,4.0524,1.5787,0.0
1,1,2026-01-01  00:19:12.0,200.0,4.0767,1.628,0.0
1,1,2026-01-01  00:19:48.0,200.0,4.0992,1.6773,0.0
1,1,2026-01-01  00:20:24.0,200.0,4.1236,1.7267,0.0
1,1,2026-01-01  00:21:00.0,200.0,4.1338,1.776,0.0
1,1,2026-01-01  00:21:36.0,200.0,4.1494,1.8253,0.0
1,1,2026-01-01  00:22:12.0,200.0,4.1632,1.8747,0.0
1,1,2026-01-01  00:22:48.0,200.0,4.1681,1.924,0.0
1,1,2026-01-01  00:23:24.0,200.0,4.1772,1.9733,0.0
1,1,2026-01-01  00:24:00.0,200.0,4.1842,2.0227,0.0
1,1,2026-01-01  00:24:36.0,200.0,4.1893,2.072,0.0
1,1,2026-01-01  00:25:12.0,200.0,4.1898,2.1213,0.0
1,1,2026-01-01  00:25:48.0,200.0,4.1973,2.1707,0.0
1,1,2026-01-01  00:26:24.0,200.0,4.2041,2.22,0.0
1,2,2026-01-01  00:27:00.0,-200.0,4.1924,0.0,0.0487
1,2,2026-01-01  00:27:36.0,-200.0,4.1961,0.0,0.0975
1,2,2026-01-01  00:28:12.0,-200.0,4.1895,0.0,0.1462
1,2,2026-01-01  00:28:48.0,-200.0,4.182,0.0,0.195
1,2,2026-01-01  00:29:24.0,-200.0,4.1835,0.0,0.2437
1,2,2026-01-01  00:30:00.0,-200.0,4.1721,0.0,0.2924
1,2,2026-01-01  00:30:36.0,-200.0,4.157,0.0,0.3412
1,2,2026-01-01  00:31:12.0,-200.0,4.1497,0.0,0.3899
1,2,2026-01-01  00:31:48.0,-200.0,4.1379,0.0,0.4387
1,2,2026-01-01  00:32:24.0,-200.0,4.1198,0.0,0.4874
1,2,2026-01-01  00:33:00.0,-200.0,4.1037,0.0,0.5362
1,2,2026-01-01  00:33:36.0,-200.0,4.0794,0.0,0.5849
1,2,2026-01-01  00:34:12.0,-200.0,4.0558,0.0,0.6336
1,2,2026-01-01  00:34:48.0,-200.0,4.0283,0.0,0.6824
1,2,2026-01-01  00:35:24.0,-200.0,3.9876,0.0,0.7311
1,2,2026-01-01  00:36:00.0,-200.0,3.9513,0.0,0.7799
1,2,2026-01-01  00:36:36.0,-200.0,3.9057,0.0,0.8286
1,2,2026-01-01  00:37:12.0,-200.0,3.8592,0.0,0.8773
1,2,2026-01-01  00:37:48.0,-200.0,3.8028,0.0,0.9261
1,2,2026-01-01  00:38:24.0,-200.0,3.7485,0.0,0.9748
