Cycle Index,Step Index,Date,Current(mA),Voltage(V),Chg. Cap.(mAh),DChg. Cap.(mAh)
1,1,2026-01-01  00:00:00.0,200.0,3.0063,0.0469,0.0
1,1,2026-01-01  00:00:36.0,200.0,3.0135,0.0938,0.0
1,1,2026-01-01  00:01:12.0,200.0,3.0169,0.1407,0.0
1,1,2026-01-01  00:01:48.0,200.0,3.0155,0.1877,0.0
1,1,2026-01-01  00:02:24.0,200.0,3.0247,0.2346,0.0
1,1,2026-01-01  00:03:00.0,200.0,3.0305,0.2815,0.0
1,1,2026-01-01  00:03:36.0,200.0,3.0397,0.3284,0.0
1,1,2026-01-01  00:04:12.0,200.0,3.0552,0.3753,0.0
1,1,2026-01-01  00:04:48.0,200.0,3.0598,0.4222,0.0
1,1,2026-01-01  00:05:24.0,200.0,3.0828,0.4692,0.0
1,1,2026-01-01  00:06:00.0,200.0,3.0982,0.5161,0.0
1,1,2026-01-01  00:06:36.0,200.0,3.1246,0.563,0.0
1,1,2026-01-01  00:07:12.0,200.0,3.1467,0.6099,0.0
1,1,2026-01-01  00:07:48.0,200.0,3.174,0.6568,0.0
1,1,2026-01-01  00:08:24.0,200.0,3.2112,0.7037,0.0
1,1,2026-01-01  00:09:00.0,200.0,3.2515,0.7506,0.0
1,1,2026-01-01  00:09:36.0,200.0,3.293,0.7976,0.0
1,1,2026-01-01  00:10:12.0,200.0,3.3426,0.8445,0.0
1,1,2026-01-01  00:10:48.0,200.0,3.3921,0.8914,0.0
1,1,2026-01-01  00:11:24.0,200.0,3.4433,0.9383,0.0
1,1,2026-01-01  00:12:00.0,200.0,3.5114,0.9852,0.0
1,1,2026-01-01  00:12:36.0,200.0,3.5714,1.0321,0.0
1,1,2026-01-01  00:13:12.0,200.0,3.6311,1.0791,0.0
1,1,2026-01-01  00:13:48.0,200.0,3.6915,1.126,0.0
1,1,2026-01-01  00:14:24.0,200.0,3.7534,1.1729,0.0
1,1,2026-01-01  00:15:00.0,200.0,3.805,1.2198,0.0
1,1,2026-01-01  00:15:36.0,200.0,3.8567,1.2667,0.0
1,1,2026-01-01  00:16:12.0,200.0,3.9065,1.3136,0.0
1,1,2026-01-01  00:16:48.0,200.0,3.9543,1.3606,0.0
1,1,2026-01-01  00:17:24.0,200.0,3.9855,1.4075,0.0
1,1,2026-01-01  00:18:00.0,200.0,4.0275,1.4544,0.0
1,1,2026-01-01  00:18:36.0,200.0,4.0519,1.5013,0.0
1,1,2026-01-01  00:19:12.0,200.0,4.0763,1.5482,0.0
1,1,2026-01-01  00:19:48.0,200.0,4.1055,1.5951,0.0
1,1,2026-01-01  00:20:24.0,200.0,4.1201,1.642,0.0
1,1,2026-01-01  00:21:00.0,200.0,4.1323,1.689,0.0
1,1,2026-01-01  00:21:36.0,200.0,4.1484,1.7359,0.0
1,1,2026-01-01  00:22:12.0,200.0,4.1634,1.7828,0.0
1,1,2026-01-01  00:22:48.0,200.0,4.1734,1.8297,0.0
1,1,2026-01-01  00:23:24.0,200.0,4.1762,1.8766,0.0
1,1,2026-01-01  00:24:00.0,200.0,4.1851,1.9235,0.0
1,1,2026-01-01  00:24:36.0,200.0,4.1913,1.9705,0.0
1,1,2026-01-01  00:25:12.0,200.0,4.1915,2.0174,0.0
1,1,2026-01-01  00:25:48.0,200.0,4.1981,2.0643,0.0
1,1,2026-01-01  00:26:24.0,200.0,4.1999,2.1112,0.0
1,2,2026-01-01  00:27:00.0,-200.0,4.1954,0.0,0.0464
1,2,2026-01-01  00:27:36.0,-200.0,4.192,0.0,0.0927
1,2,2026-01-01  00:28:12.0,-200.0,4.1893,0.0,0.1391
1,2,2026-01-01  00:28:48.0,-200.0,4.184,0.0,0.1854
1,2,2026-01-01  00:29:24.0,-200.0,4.1758,0.0,0.2318
1,2,2026-01-01  00:30:00.0,-200.0,4.1686,0.0,0.2781
1,2,2026-01-01  00:30:36.0,-200.0,4.1639,0.0,0.3245
1,2,2026-01-01  00:31:12.0,-200.0,4.1501,0.0,0.3708
1,2,2026-01-01  00:31:48.0,-200.0,4.1389,0.0,0.4172
1,2,2026-01-01  00:32:24.0,-200.0,4.124,0.0,0.4635
1,2,2026-01-01  00:33:00.0,-200.0,4.1034,0.0,0.5099
1,2,2026-01-01  00:33:36.0,-200.0,4.0864,0.0,0.5562
