Cycle Index,Step Index,Date,Current(mA),Voltage(V),Chg. Cap.(mAh),DChg. Cap.(mAh)
1,1,2026-01-01  00:00:00.0,200.0,2.4972,0.0391,0.0
1,1,2026-01-01  00:00:36.0,200.0,2.5039,0.0783,0.0
1,1,2026-01-01  00:01:12.0,200.0,2.5127,0.1174,0.0
1,1,2026-01-01  00:01:48.0,200.0,2.5157,0.1566,0.0
1,1,2026-01-01  00:02:24.0,200.0,2.5201,0.1957,0.0
1,1,2026-01-01  00:03:00.0,200.0,2.5318,0.2348,0.0
1,1,2026-01-01  00:03:36.0,200.0,2.5347,0.274,0.0
1,1,2026-01-01  00:04:12.0,200.0,2.5493,0.3131,0.0
1,1,2026-01-01  00:04:48.0,200.0,2.5596,0.3522,0.0
1,1,2026-01-01  00:05:24.0,200.0,2.5737,0.3914,0.0
1,1,2026-01-01  00:06:00.0,200.0,2.5956,0.4305,0.0
1,1,2026-01-01  00:06:36.0,200.0,2.6124,0.4697,0.0
1,1,2026-01-01  00:07:12.0,200.0,2.6458,0.5088,0.0
1,1,2026-01-01  00:07:48.0,200.0,2.667,0.5479,0.0
1,1,2026-01-01  00:08:24.0,200.0,2.7076,0.5871,0.0
1,1,2026-01-01  00:09:00.0,200.0,2.7356,0.6262,0.0
1,1,2026-01-01  00:09:36.0,200.0,2.7826,0.6653,0.0
1,1,2026-01-01  00:10:12.0,200.0,2.8234,0.7045,0.0
1,1,2026-01-01  00:10:48.0,200.0,2.8732,0.7436,0.0
1,1,2026-01-01  00:11:24.0,200.0,2.9315,0.7828,0.0
1,1,2026-01-01  00:12:00.0,200.0,2.9895,0.8219,0.0
1,1,2026-01-01  00:12:36.0,200.0,3.0418,0.861,0.0
1,1,2026-01-01  00:13:12.0,200.0,3.1079,0.9002,0.0
1,1,2026-01-01  00:13:48.0,200.0,3.1601,0.9393,0.0
1,1,2026-01-01  00:14:24.0,200.0,3.2194,0.9784,0.0
1,1,2026-01-01  00:15:00.0,200.0,3.2739,1.0176,0.0
1,1,2026-01-01  00:15:36.0,200.0,3.3248,1.0567,0.0
1,1,2026-01-01  00:16:12.0,200.0,3.3639,1.0959,0.0
1,1,2026-01-01  00:16:48.0,200.0,3.416,1.135,0.0
1,1,2026-01-01  00:17:24.0,200.0,3.4501,1.1741,0.0
1,1,2026-01-01  00:18:00.0,200.0,3.48,1.2133,0.0
1,1,2026-01-01  00:18:36.0,200.0,3.5069,1.2524,0.0
1,1,2026-01-01  00:19:12.0,200.0,3.5296,1.2915,0.0
1,1,2026-01-01  00:19:48.0,200.0,3.5517,1.3307,0.0
1,1,2026-01-01  00:20:24.0,200.0,3.5754,1.3698,0.0
1,1,2026-01-01  00:21:00.0,200.0,3.5878,1.409,0.0
1,1,2026-01-01  00:21:36.0,200.0,3.5982,1.4481,0.0
1,1,2026-01-01  00:22:12.0,200.0,3.6107,1.4872,0.0
1,1,2026-01-01  00:22:48.0,200.0,3.6258,1.5264,0.0
1,1,2026-01-01  00:23:24.0,200.0,3.6275,1.5655,0.0
1,1,2026-01-01  00:24:00.0,200.0,3.6328,1.6046,0.0
1,1,2026-01-01  00:24:36.0,200.0,3.6436,1.6438,0.0
1,1,2026-01-01  00:25:12.0,200.0,3.6451,1.6829,0.0
1,1,2026-01-01  00:25:48.0,200.0,3.6473,1.7221,0.0
1,1,2026-01-01  00:26:24.0,200.0,3.6482,1.7612,0.0
1,2,2026-01-01  00:27:00.0,-200.0,3.6425,0.0,0.0387
1,2,2026-01-01  00:27:36.0,-200.0,3.6402,0.0,0.0773
1,2,2026-01-01  00:28:12.0,-200.0,3.6381,0.0,0.116
1,2,2026-01-01  00:28:48.0,-200.0,3.6339,0.0,0.1547
1,2,2026-01-01  00:29:24.0,-200.0,3.6295,0.0,0.1933
1,2,2026-01-01  00:30:00.0,-200.0,3.6227,0.0,0.232
1,2,2026-01-01  00:30:36.0,-200.0,3.6129,0.0,0.2707
1,2,2026-01-01  00:31:12.0,-200.0,3.6023,0.0,0.3093
1,2,2026-01-01  00:31:48.0,-200.0,3.5858,0.0,0.348
1,2,2026-01-01  00:32:24.0,-200.0,3.5673,0.0,0.3867
1,2,2026-01-01  00:33:00.0,-200.0,3.5542,0.0,0.4253
1,2,2026-01-01  00:33:36.0,-200.0,3.5318,0.0,0.464
1,2,2026-01-01  00:34:12.0,-200.0,3.508,0.0,0.5027
1,2,2026-01-01  00:34:48.0,-200.0,3.4805,0.0,0.5414
1,2,2026-01-01  00:35:24.0,-200.0,3.4447,0.0,0.58
1,2,2026-01-01  00:36:00.0,-200.0,3.4078,0.0,0.6187
1,2,2026-01-01  00:36:36.0,-200.0,3.369,0.0,0.6574
1,2,2026-01-01  00:37:12.0,-200.0,3.3234,0.0,0.696
1,2,2026-01-01  00:37:48.0,-200.0,3.2708,0.0,0.7347
1,2,2026-01-01  00:38:24.0,-200.0,3.2205,0.0,0.7734
1,2,2026-01-01  00:39:00.0,-200.0,3.1619,0.0,0.812
1,2,2026-01-01  00:39:36.0,-200.0,3.1013,0.0,0.8507
1,2,2026-01-01  00:40:12.0,-200.0,3.0458,0.0,0.8894
1,2,2026-01-01  00:40:48.0,-200.0,2.9931,0.0,0.928
1,2,2026-01-01  00:41:24.0,-200.0,2.929,0.0,0.9667
1,2,2026-01-01  00:42:00.0,-200.0,2.8807,0.0,1.0054
